Māori ,English,Level
Aotearoa,New Zealand or The land of the long white cloud ,1
aroha,Love,1
haka,A Māori dance.,1
hangi,Food from an earth oven,1
kai,Food,1
karakia,A Prayer,1
kauri,A large native conifer,1
kiwi,Out native flightless bird,1
mana,Prestige or reputation,1
Māori,The indigenous language of New Zealand,1
marae,The area in front of a meeting house,1
maunga,A mountain,1
moa,An extinct large flightless bird,1
moana,The sea,1
tāne,Men,1
tangi,A Funeral,1
tapu,Sacred,1
tuatara,Lizard of the order Rhynchocephalia,1
waiata,A song or chant,1
waka,A canoe or a canoe group,1
whenua,Land or homeland,1
awa,River,2
hapu,A sub-tribe,2
iwi,A tribe,2
koha,A gift or contribution,2
mahi,Work or activity,2
manuhiri,Visitors,2
motu,An island,2
nui,Large,2
pā,A hill fort,2
Pākehā,New Zealander of non-Māori descent,2
rangatira,A person of chiefly rank,2
tama,Young man,2
tamariki,Children,2
taonga,Treasured possessions,2
wahine,A woman or a wife,2
wai,Water,2
whānau,Extended family,2
hīkoi,A walk,3
hui,A meeting to discuss an important issue,3
iti,Small,3
kaumatua,An elder,3
kōhanga reo,A language nest,3
pounamu,Greenstone,3
puku,Belly,3
taihoa,Delay,3
tamāhine,Daughter,3
tupuna,ancestor,3
whaikōrero,The art and practise of speech-making,3
whakapapa,Genealogy,3